nm0194945,Jehanne d'Alcy
nm0779033,David Scott
nm0593664,Radha Mitchell
nm0004874,Vin Diesel
nm0620397,Miki Nakatani
nm0875457,Shingo Tsurumi
nm0407332,Jôji Iida
nm0128880,Sharon Kane
nm0485309,Derrick Lane
nm0703751,Alexandria Quinn
nm0767368,Rick Savage
nm0352886,Elisabeth Hadley
nm0291633,Andrew Franks
nm0942127,Kevin Wrench
nm0175355,Sean Connolly
nm0581615,Paul Merton
nm0807364,Arthur Smith
nm0211487,Charles Webb
nm0247624,Jon Martin
nm0214150,Billy Dee
nm0601607,Melanie Moore
nm0584100,David Michael
nm0364963,Kirk Harris
nm0154335,Jonathon Chaus
nm0757955,Norman Saleet
nm0748339,Jack Rubio
nm0901063,Giannis Voglis
nm0617091,Dimitris Myrat
nm0518522,Anne Lonnberg
nm0313745,Vasilis Georgiadis
nm0048250,Becky Ann Baker
nm0480775,Adam LeFevre
nm0228764,Beth Dixon
nm0027069,Leif Anderson
nm0046169,Saar Badishi
nm0648392,Ron Omer
nm0066842,Michael Behagen
nm0660282,Dimitris Papamichael
nm0136025,Kostas Karagiannis
nm0065776,Timothy Beckley
nm2371061,Tim Connelly
nm0743889,Toby Ross
nm1027246,Eric Monti
nm0706066,Taija Rae
nm0200069,Rick Daniels
nm0707405,Rajeshwari
nm1375981,Praveen Nischol
nm0381659,Jessica Hester Hsuan
nm0710211,Ranjeet
nm0071034,Norma Bengell
nm0596261,José Mojica Marins
nm0340716,Wilson Grey
nm0786987,Rogério Sganzerla
nm0029607,Vince Vouyer
nm0909196,Michael Wallin
nm0491813,Shayla LaVeaux
nm0789843,Linda Shaw
nm0809050,Laurie Smith
nm0280964,Flame
nm0443685,Nikos Kazis
nm0320456,Smaroula Giouli
nm0874997,Nikos Tsiforos
nm0288192,Mimis Fotopoulos
nm0856981,Tilda Thamar
nm0198128,Patrice Dally
nm0683570,Drew Pillsbury
nm0447925,Beth Kennedy
nm0527932,Rasmus Lyberth
nm0631016,Vivi Nielsen
nm0711364,Kenneth Rasmussen
nm0345026,Jacob Grønlykke
nm0756313,Deepa Sahi
nm0044796,Raj Babbar
nm0576559,Ketan Mehta
nm0170541,Eric Michael Cole
nm0144007,Nancy Cassaro
nm0371196,Reginald C. Hayes
nm0733185,Wendy Raquel Robinson
nm0148116,Simon Cellan Jones
nm0005003,Sean Hayes
nm0005388,Brad Rowe
nm0883620,Armando Valdes-Kennedy
nm0610650,Mr. Dan
nm0641373,Tommy O'Haver
nm0592978,Jorge Mistral
nm0459567,León Klimovsky
nm0878924,Tina Tyler
nm0217693,Bosley DeLongprez
nm0959774,Jonas Åkerlund
nm0577414,Eero Melasniemi
nm0577416,Pertti Melasniemi
nm0457883,Erkko Kivikoski
nm0020411,Dave Allen
nm0446465,Jean Louisa Kelly
nm0657484,Euzhan Palcy
nm0370035,John Hawkes
nm0901021,Mark Voges
nm0259032,Daniel Erickson
nm0001212,Joseph Fiennes
nm0005258,Patrick Muldoon
nm0142286,D.J. Caruso
nm0569469,Don McGlynn
nm0250410,Todd Edwards
nm0066061,Peter Bedgood
nm0249897,Cory Edwards
nm0461778,Brad Knull
nm0784274,Güven Sengil
nm0006703,Zeki Ökten
nm0392073,Tina Holmes
nm0300399,Andersen Gabrych
nm0574668,Stephanie McVay
nm0604284,David Moreton
nm0001619,Summer Phoenix
nm0005346,Tara Reid
nm0434864,Jonathan Kahn
nm0541605,Elena Mandalis
nm0660654,Alex Papps
nm0463727,Ana Kokkinos
nm0005445,Kerr Smith
nm0292579,Gibson Frazier
nm0203617,Brian Davies
nm0008917,Adam Abraham
nm0421716,Tomas Villum Jensen
nm0423849,Svend Johansen
nm0327789,Shaky González
nm0338292,Robson Green
nm0722279,Julian Rhind-Tutt
nm0827228,Debra Stephenson
nm0072946,Lee Benton
nm0501135,Debrah LeMattre
nm0384862,David Hillenbrand
nm0337806,Douglas Green
nm0586528,Shin'ichirô Miki
nm0607516,Kirby Morrow
nm0238546,Brian Drummond
nm0229928,Paul Dobson
nm0229923,Michael Dobson
nm0856197,Venus Terzo
nm0757087,Maaya Sakamoto
nm0782840,Tomokazu Seki
nm0414733,John Jacobsen
nm0485637,Eric Laneuville
nm0864892,Oliver Tobias
nm0535228,Lone Madsen
nm0455865,Brooke Kinsella
nm0003745,Anthony Fabian
nm0004757,Selma Blair
nm0474955,Roger Kumble
nm0001803,Danny Trejo
nm0005165,Chad Lowe
nm0528164,Will Lyman
nm0854580,Sybil Darrow
nm0937930,Scott Wolf
nm0158966,Lisa Cholodenko
nm0294067,Dawn French
nm0470156,Shmulik Kraus
nm0338496,David Greenberg
nm0728346,Michael Rispoli
nm0021193,Fernando Allende
nm0936803,Doug Witkins
nm0888418,Marina de Van
nm0654830,François Ozon
nm0437688,Kanhaiyalal Chaturvedi
nm0080191,Lekhraj Bhakri
nm0931654,Saul Williams
nm0812308,Sonja Sohn
nm0540395,Bonz Malone
nm0505660,Marc Levin
nm0094351,Massimo Bonetti
nm0374658,William Heise
nm0267348,Betty Faria
nm0534809,Malu Mader
nm0131246,Felipe Camargo
nm0425061,Eric Vale
nm1384023,Elise Baughman
nm1070753,Andrew Chandler
nm0637586,Masako Nozawa
nm1579987,Caitlynne Medrek
nm0618955,Stephanie Nadolny
nm0941096,Susan Wooldridge
nm0530969,Sigval Maartmann-Moe
nm0313530,Matt George
nm0514976,Matty Liu
nm0233663,Shane Dorian
nm0867051,Shaun Tomson
nm0946263,Mikhail Yanshin
nm0691294,Irina Poplavskaya
nm0533145,David Mackay
nm0699426,Peter Pryor
nm0227822,Kevin DiNovis
nm0006969,Elizabeth Banks
nm0660986,Tim Parati
nm2521159,Anthi Zaharatou
nm0687745,Maria Plyta
nm0552954,Richard Martin
nm0005244,Fernanda Montenegro
nm0646737,Vinícius de Oliveira
nm0702479,Marília Pêra
nm0189200,Joseph Cross
nm0003474,Troy Miller
nm0423080,Hee-kyung Jin
nm0928376,Rebecca Wild
nm0005323,Paula Poundstone
nm0247597,Jesse Eastern
nm0832541,Alex Storm
nm0925496,Tammy White
nm0004921,Joely Fisher
nm0446109,David Kellogg
nm0001383,David Hyde Pierce
nm0397907,Wally Howe
nm0269572,Hugh Fay
nm0242554,Eddie Dunn
nm0110112,Brittany
nm0736813,Danielle Rogers
nm0665856,Randy Spears
nm0917832,Helene Weigel
nm1298385,Harry Bremer
nm0917102,Manfred Wekwerth
nm0243391,Jeff Dupre
nm0047259,Fenton Bailey
nm0053190,Randy Barbato
nm0460337,Eugen Klöpfer
nm0257068,Erich Engel
nm0882167,Timotei Ursu
nm0777649,Simon Schwarz
nm0748964,Lars Rudolph
nm0752328,Stefan Ruzowitzky
nm0529601,István Lénárt
nm0270486,György Fehér
nm0929952,Larry O. Williams Jr.
nm0675341,Tyren Perry
nm0517909,Aaron Lohr
nm0627995,Alec Newman
nm0457189,László I. Kish
nm0487237,Walter Lantz
nm0634366,William Nolan
nm0300939,Holly Gagnier
nm0341461,D. Charles Griffith
nm1087229,Robert Mello
nm1087791,Christopher Gotschall
nm0949521,Ric Young
nm0070115,Paul Ben-Victor
nm0293272,Al Freeman Jr.
nm0411879,Miki Itô
nm0440391,Osamu Kasai
nm0476223,Takeshi Kusao
nm0973920,Yoshihiro Ueda
nm0875442,Hiromi Tsuru
nm0632788,Daisuke Nishio
nm0394690,Ryô Horikawa
nm0973260,Mitsuo Hashimoto
nm1387613,Kazuhisa Takenouchi
nm0945674,Shigeyasu Yamauchi
nm0819850,Cole Sprouse
nm0038953,Toyoo Ashida
nm0129071,Jason Cairns
nm0682031,Kane Picoy
nm0528281,Edward Lynch
nm0053684,Tony Barbieri
nm0051533,Yossi Banai
nm0826060,Alfred Steinhardt
nm0785167,Meika Seri
nm0411030,Teruo Ishii
nm0758129,Sammy Sales
nm0729524,Fernand Rivers
nm0794339,Peg Shirley
nm0105046,J.C. Brandy
nm0000712,Steve Cohen
nm0001572,Danny Nucci
nm0002055,Alison Eastwood
nm0351945,George Haas
nm0131145,Bianca Virginia Camagni
nm0785802,Luigi Serventi
nm0312866,Augusto Genina
nm0149950,Sarah Chalke
nm0004941,Soleil Moon Frye
nm0004936,Ben Foster
nm0132301,Christian Campbell
nm0370666,Yoichi Hayashi
nm0756828,Buichi Saitô
nm0717870,Adele Rein
nm0104472,James Brand
nm0010486,Mark Adair-Rios
nm0191044,Michael Cudlitz
nm0549478,Jean-Pierre Marois
nm0945601,Shingo Yamashiro
nm0520926,Jacqueline Lorians
nm0279435,Dan T. Mann
nm0522175,Patti Petite
nm0039106,Rachel Ashley
nm0604517,Britt Morgan
nm0004893,Hallie Eisenberg
nm0695629,Doug Pray
nm0425053,Eric Johnson
nm0004862,Kristin Davis
nm0278125,John Finn
nm0002546,Mena Suvari
nm0204493,Don S. Davis
nm0868330,Ingrid Torrance
nm0625887,Jan Nemejovský
nm0857620,Justin Theroux
nm0524197,Josh Lucas
nm0507793,Ted Lewis
nm0649381,Chris Orbach
nm0556065,Masami Ôbari
nm0251872,Bob Einstein
nm0240627,Troy Duffy
nm0820903,Nick Stabile
nm0209428,Frances de la Tour
nm0899681,Goran Visnjic
nm0214021,Ovide Decroly
nm0931329,Michelle Williams
nm0217998,Joan Devlon
nm0456444,Bob Kirk
nm0781635,John Seeman
nm0855728,Scott Terra
nm0836610,Susanna Styron
nm0025364,Alice Amter
nm0138421,Clint Carmichael
nm0354937,Jennifer Hale
nm0725572,Evan Ricks
nm0003405,Nathan Anderson
nm0545553,Josh Marchette
nm0796146,Tony Shyu
nm0629517,Melanie Nicholls-King
nm0146917,Robert Cavanah
nm1173839,Marc Pierret
nm0369954,Keeley Hawes
nm0263009,Marc Evans
nm0715240,Crispin Reece
nm0794960,Simon Shore
nm0822043,Richard Standeven
nm0615767,Susan Muska
nm0900569,Anestis Vlahos
nm0543650,Kostas Manoussakis
nm0122741,Ken Burns
nm0065226,Martin Beck
nm0270268,Kathleen Fee
nm0130711,Michael Caloz
nm0176908,Ben Cook
nm0316592,Rodney Gibbons
nm0290556,James Franco
nm0072760,Michael Bentine
nm0496861,Benny Lee
nm0242533,Clive Dunn
nm0256289,Dick Emery
nm1533094,Rosemary Squires
nm0188983,Elizabeth Crosby
nm0292417,Barbara Frawley
nm0040255,Lev Atamanov
nm0000096,Gillian Anderson
nm0197547,Sandra Dal Sasso
nm0028270,Raffaele Andreassi
nm0013712,Jonathan C. Aguirre
nm0048414,Dylan Baker
nm0245081,Ray Dennis Steckler
nm12916062,Richard Kornbacher
nm0236381,Jerry Doyle
nm0001712,Tracy Scoggins
nm0337550,Janet Greek
nm1583612,Ralf Betz
nm1242711,Toks Körner
nm0630219,Thomas Nicolai
nm0930354,Daniel Williams
nm1703632,Alex Nubbar
nm0885946,Alain Van Damme
nm0820715,Julian St. Jox
nm0229797,Carrie Dobro
nm0829155,Alexandra Stewart
nm0520440,Jean-Claude Lord
nm0214942,Suzanne Dehelly
nm0139151,Pierre Caron
nm0004272,Paul Hipp
nm0272560,Nancye Ferguson
nm0718505,Jon Reiss
nm0005013,Iben Hjejle
nm0521974,Todd Louiso
nm0127660,Lance Heywood
nm0584489,Sean Michaels
nm0068529,Steve Bell
nm0002032,Roger Daltrey
nm0066982,Dani Behr
nm0649664,Paul Oremland
nm0001363,Jane Horrocks
nm0205074,Mannie Davis
nm0272073,Peter Fenton
nm0394759,Sacha Horler
nm0244696,Marta Dusseldorp
nm0192845,John Curran
nm0362065,Max Hardcore
nm0528606,Amber Lynn
nm0001754,Todd Solondz
nm0005132,Heath Ledger
nm0005466,Julia Stiles
nm0646351,Larisa Oleynik
nm0432627,Gil Junger
nm0355036,Roy Halee
nm0232705,Eddie Donnelly
nm0646818,Deanna Oliver
nm0708371,Robert C. Ramirez
nm0893358,Patrick A. Ventura
nm0177327,Vera Cook
nm0310887,Gill Gayle
nm0744284,Peter Rossi
nm0264236,Richard Eyre
nm0420180,Brenden Jefferson
nm0479471,Shia LaBeouf
nm0711197,Connie Rasinski
nm0941056,Emily Woof
nm0948145,Wai-Man Yip
nm0878061,Turk Turpin
nm0129004,Roger Caine
nm0819810,Annie Sprinkle
nm0005085,Jamie Kennedy
nm0348231,Sean Gunn
nm0420219,Paris Jefferson
nm0627571,David New
nm0043855,Reiko Aylesworth
nm0706787,Aishwarya Rai Bachchan
nm0022758,Tom Alter
nm0000204,Natalie Portman
nm0763216,Claudio Santamaria
nm0376664,Stewart Hendler
nm1226290,Sung-su Kim
nm0755411,Shin'ya Sadamitsu
nm0410242,Charles Irving
nm0713367,Sid Raymond
nm0005503,Susan Traylor
nm0956169,Scott Ziehl
nm0608487,Frank Moser
nm0006761,Paul J. Smith
nm0848987,Hideyuki Tanaka
nm0847705,Toshifumi Takizawa
nm0739272,Marcus Romer
nm0697799,Bryan Pringle
nm0764700,Cathy Sara
nm0947036,Steve Yeager
nm0663120,Ted Parmelee
nm0574430,Donna McRae
nm0002562,Maciek Wszelaki
nm0471837,Miroslav Josef Krnanský
nm0645781,Enuka Okuma
nm0003837,Stuart Cooper
nm0384879,Danny Hiller
nm0204190,Arthur Davis
nm0400056,Dick Huemer
nm0546184,Sid Marcus
nm0875793,Anand Tucker
nm0216466,Lea DeLaria
nm0815208,Stephen Sorrentino
nm2307190,Sara Moore
nm0782247,Zohra Sehgal
nm0900381,D.J. Vivona
nm0856680,Todd Tevlin
nm0815018,Maricel Soriano
nm0327076,Richard Gomez
nm0349347,Eddie Gutierrez
nm0797570,Carlos Siguion-Reyna
nm0695286,Prashanth
nm0784521,Senthil
nm0915903,Leon Weaver
nm0915850,Frank Weaver
nm0915848,June Weaver
nm0567757,Frank McDonald
nm0855765,Donny Terranova
nm0670819,Nichole Pelerine
nm0508702,Daniel Liatowitsch
nm0643849,David Todd Ocvirk
nm0703362,Mae Questel
nm1182327,Cecil Roy
nm0816917,Izzy Sparber
nm0907203,Myron Waldman
nm0020436,Dayton Allen
nm0115230,Frank Brownlee
nm0533712,Mary MacLaren
nm0474631,Edward A. Kull
nm0832498,Thomas Storey
nm0178801,Freddy Coppens
nm0056438,Lucien Baroux
nm0401081,André Hugon
nm0592238,Yves Mirande
nm0531856,Mike MacDonald
nm0810453,Jan Smithers
nm0938384,Henry Wolfond
nm0018396,Eliana Alexander
nm0032741,Francisco Aragon
nm0067083,Yeniffer Behrens
nm0526874,Andy Luotto
nm0865573,Ricky Tognazzi
nm0788340,Molly Shannon
nm0477810,Juliane Köhler
nm0691332,Dmitri Popov
nm0379114,David Herman
nm0619651,Ajay Naidu
nm0222345,Tricia Devereaux
nm0326751,Yekaterina Golubeva
nm0382216,Christopher Heyerdahl
nm0608378,David Moscow
nm0048932,Simon Baker
nm0112498,Eric Bross
nm2467032,Jeffrey Kuhn
nm0132763,Norman Campbell
nm0594345,Mimi Miyagi
nm1284345,Benjamin Schick
nm0951192,Peter Yuval
nm0403039,Siobhan Hunter
nm0170257,Alan Colberg
nm0439784,Girish Karnad
nm0474798,Dheeraj Kumar
nm0154113,Basu Chatterjee
nm0074072,Tom Elliot
nm0131656,Laurie Cameron
nm0228636,Teri Diver
nm0618651,Samy Naceri
nm0225899,Frédéric Diefenthal
nm0182839,Marion Cotillard
nm0332659,Manuela Gourary
nm0000091,Gérard Pirès
nm1107894,Sivakumar
nm0765248,Saritha
nm0756379,Balraj Sahni
nm0030533,Nisar Ahmad Ansari
nm0510379,Lillian
nm0001934,Kabir Bedi
nm0630245,Cassandra Nicolaou
nm0245018,François Duval
nm0605786,Henning Moritzen
nm0488917,Thomas Bo Larsen
nm0824785,Paprika Steen
nm0899121,Thomas Vinterberg
nm0697978,Henrik Prip
nm0016850,Jens Albinus
nm0527937,Troels Lyby
nm0509263,Nikolaj Lie Kaas
nm0585788,Louise Mieritz
nm0857458,Jeremy Theobald
nm0281727,Lucy Fleming
nm0050250,Richard Balin
nm0202807,Alexandru David
nm0448021,Emma Kennedy
nm0390155,Amanda Holden
nm0703225,Caroline Quentin
nm0486413,Chris Langham
nm0101740,Darren Boyd
nm0631490,Bill Nighy
nm0661713,Cliff Parisi
nm0372423,Mark Heap
nm0647638,Eric Christian Olsen
nm0324380,Glen Goei
nm0786806,Cara Seymour
nm0225869,Katherine Dieckmann
nm0633172,George Nix
nm1996301,Dick Chaney
nm0178876,Christopher Coppola
nm0605080,Trevor Morgan
nm0004748,Julie Benz
nm0825434,Darren Stein
nm0256628,Akira Emoto
nm0039591,Kumiko Asô
nm0663854,Karyn Parsons
nm0841559,Alison Swan
nm0319680,Tom Gilroy
nm0832187,Stuart Stone
nm0927770,Chris Wiggins
nm0102380,Lisa Jai
nm0701146,Jeff Pustil
nm0467177,Corrine Koslo
nm0043891,John Aylward
nm0121805,Michael Reilly Burke
nm0137001,Matthew Carey
nm0248461,Megalyn Echikunwoke
nm0113054,Arvin Brown
nm0073384,Emmanuelle Bercot
nm0486174,Niklaus Lange
nm0141779,Linna Carter
nm0690409,Lisl Ponger
nm0874787,Peter Tscherkassky
nm0525283,André Luguet
nm0730109,André Roanne
nm0352601,Michiko Hada
nm0396284,Hsiao-Hsien Hou
nm0938925,Annie Wu
nm0538328,Michael Mak
nm0583964,Tien Miao
nm0510890,Hui-Chin Lin
nm0272401,Craig Ferguson
nm0020728,Kevin Allen
nm0160952,Lyndon Chubbuck
nm0000635,Yahoo Serious
nm0197940,Helen Dallimore
nm0275913,David Field
nm0685221,Grant Piro
nm0005260,Frankie Muniz
nm0238506,Dinara Drukarova
nm0412585,Junko Iwao
nm0464804,Satoshi Kon
nm0538533,Samira Makhmalbaf
nm0334179,Lauren Graham
nm0101521,Tim Boxell
nm0268007,Diane Farr
nm0151125,Teddy Chan
nm0577908,John Mellencamp
nm0856105,Terrylene
nm0542126,Robert Manganelli
nm0619600,Philippe Nahon
nm0502133,Blandine Lenoir
nm0637615,Gaspar Noé
nm0199281,Évelyne Dandry
nm0551761,François Marthouret
nm0377631,Krister Henriksson
nm0361574,Thomas Hanzon
nm0301305,Boyd Gaines
nm0394037,Richard Hope
nm0935807,Ophélie Winter
nm0339619,Ezio Greggio
nm0154726,Stephanie Che
nm0482592,Dante Lam
nm0659250,Pandari Bai
nm0714775,Ramana Reddy
nm0305519,Paula Garcés
nm0005049,Allison Janney
nm0417794,Michael Patrick Jann
nm0862932,Jacob Tierney
nm0731067,Eliza Roberts
nm0114579,Roger C. Brown
nm0500444,Danny Leiner
nm0142780,Gregorio Casal
nm0199680,Leonardo Daniel
nm0211199,Lorenzo de Rodas
nm0735879,Ismael Rodríguez
nm0788351,Polly Shannon
nm0863254,Eric Till
nm0185354,Brendan Coyle
nm0537100,Martin Mahon
nm0664965,George Pastell
nm0561797,Peter Maxwell
nm0574308,Kent McQuaid
nm0816074,Tim Southam
nm0679832,Peter Phelps
nm0253463,Cyrus Elias
nm0042735,Marcello Avallone
nm0786157,Dan Setton
nm0778831,Andrew Scott
nm0614584,Pat Murphy
nm0557859,Chiara Mastroianni
nm0009402,Pedro Abrunhosa
nm0152647,Antoine Chappey
nm0224351,Andrés Di Tella
nm0149810,Amiya Chakrabarty
nm0191002,Cuckoo
nm0611617,Mukri
nm0755087,Achala Sachdev
nm0466678,Thomas Korschil
nm0608090,Samantha Morton
nm0491422,Charlotte Laurier
nm0167501,Suzanne Clément
nm0108447,Manon Briand
nm0337945,Janet-Laine Green
nm0196592,Cameron Daddo
nm0493327,Shannon Lawson
nm0621576,Nas
nm0229422,DMX
nm0382968,Taral Hicks
nm0914418,Tionne 'T-Boz' Watkins
nm0930782,Hype Williams
nm0408042,Yuka Imai
nm0624374,Hiroshi Negishi
nm0842664,Saul Swimmer
nm0527109,Rod Lurie
nm0376316,Adam Henderson
nm0946344,Yûsaku Yara
nm0057277,Sean Barrett
nm0235811,Alison Dowling
nm0005060,Kristen Johnston
nm0005105,Jane Krakowski
nm0337020,Jason Gray-Stanford
nm0419403,Janyse Jaud
nm0755956,Satoshi Saga
nm0222126,Heikko Deutschmann
nm0079273,Paul Bettany
nm0607865,Emily Mortimer
nm0237958,Carol Drinkwater
nm0435299,Meiko Kaji
nm0361662,Eriko Hara
nm0393088,Chieko Honda
nm0015425,Katsuhito Akiyama
nm0358003,Kirsty Hamilton
nm0640056,Denise O'Connell
nm0090904,Costa Botes
nm0623214,Gorô Naya
nm0531355,Tristan MacAvery
nm0132285,Charles C. Campbell
nm0445206,Allison Keith
nm0032822,Kazuo Arai
nm0765126,Lia Sargent
nm0557968,Eiko Masuyama
nm0815040,Michael Sorich
nm0134449,Richard Cansino
nm0653071,Bob Papenbrook
nm0229026,Jasmin Dizdar
nm0532683,Gabriel Macht
nm0925916,Charles Malik Whitfield
nm0601382,John Moore
nm0004801,Nestor Carbonell
nm0541509,Ray 'Boom Boom' Mancini
nm0272516,Lisa K. Ferguson
nm0875155,Rino Zror
nm0572430,Sheila McLaughlin
nm0108031,Lee Breuer
nm0863412,Lynne Tillman
nm0628155,Karen Newman
nm0580337,Ismail Merchant
nm0384060,Bernard Hill
nm0412850,Eddie Izzard
nm0514638,Natasha Little
nm0801065,Julian Simpson
nm0607916,Alexander Morton
nm0536748,Kerrigan Mahan
nm0592437,Edie Mirman
nm0935287,Jeff Winkless
nm0566332,Michael McConnohie
nm0544448,Sonia Manzano
nm0357143,Gary Halvorson
nm0311780,Ernie Gehr
nm0923852,Jane Wheeler
nm0131117,Mark Camacho
nm0357965,John Hamilton
nm0198432,Eileen Daly
nm0178507,Jonathan Coote
nm0397721,Kevin Howarth
nm0922115,Jake West
nm0309382,Leon Gast
nm0820598,Sydney St. James
nm0400606,Frank John Hughes
nm0382914,Marva Hicks
nm0509115,Jacklyn Lick
nm0005154,Lucy Liu
nm0629334,McG
nm0536252,Pierre Magnier
nm0776914,Maurice Schutz
nm0416596,Jesse James
nm0110903,Kevin Brodie
nm0430005,Jeremy Jordan
nm0050924,Mark Ballou
nm0523699,Ann Lu
nm0310558,Matt Gavin
nm0920108,Audrey Wells
nm0813847,Gwen Somers
nm0522585,Trevor Lovell
nm0108637,Jon Briddell
nm0225035,Ramona S. Diaz
nm0111274,Shane Brolly
nm0753382,Michael Rymer
nm0450387,Stephen Kessler
nm0896517,Martin Vidnovic
nm0634455,Christiane Noll
nm0297873,Keiji Fujiwara
nm0836790,Tarcy Su
nm0197240,Leon Dai
nm0359217,Han Chang
nm0461904,I-Chen Ko
nm0001035,Ben Chaplin
nm0273490,Evelina Fernández
nm0884452,José Luis Valenzuela
nm0642678,Niall O'Shea
nm0254623,Scott Elliott
nm0115192,Michael Browning
nm0639917,Sean O'Bryan
nm0186247,Susannah Cranage
nm0642823,Thaddeus O'Sullivan
nm0566427,Dan McCormack
nm0075626,Alain Berliner
nm0219301,Tony Denman
nm0770896,Martin Schenk
nm0281575,Noah Fleiss
nm0599715,Dan Montgomery Jr.
nm0701039,Tag Purvis
nm0631992,Valentin Nikulin
nm0784369,Yuri Senkevich
nm0125733,Vladimir Bychkov
nm0908094,Paul Walker
nm0297229,Jason Fuchs
nm0635371,Assia Noris
nm0132135,Carlo Campanini
nm0636530,Guido Notari
nm0131460,Mario Camerini
nm0633989,Yukana
nm0370582,Show Hayami
nm0559567,Yasunori Matsumoto
nm0230674,Mika Doi
nm0793619,Saeko Shimazu
nm0897845,Soledad Villamil
nm0261957,Inés Estévez
nm0587313,Eduardo Milewicz
nm0613109,David Munro
nm0022744,Lori Alter
nm0567506,Dean McDermott
nm0710331,Jonathan Rannells
nm0661638,Victoria Paris
nm0183879,Courtney
nm0350208,Florence Guérin
nm0224079,Marina Ripa di Meana
nm0293889,Stéphane Freiss
nm0220227,Jacques Deray
nm0159867,Nicolaj Kopernikus
nm0159925,Trine Piil Christensen
nm0905061,Wolfgang Völz
nm0934463,Brian Wimmer
nm0859667,Zack Thomas
nm0429824,Alex Jordan
nm0185955,Michael Craig
nm0212078,Alexis De Vell
nm0677139,Eric Peterson
nm0832409,David Storch
nm0089537,Skye Blue
nm0642382,Mal O'Ree
nm0621176,Tony Nappo
nm0000745,Carol Alt
nm0887055,André van Heerden
nm0359168,Keiko Han
nm0280245,Glenn Fitzgerald
nm0649062,Nancy Opel
nm0592824,Bob Misiorowski
nm0172423,Judy Collins
nm0004770,David Boreanaz
nm0004806,Charisma Carpenter
nm0219206,Alexis Denisof
nm0724124,J. August Richards
nm0356468,Andy Hallett
nm0009918,Amy Acker
nm0025503,Isabelle Amyes
nm0580259,Diane Mercer
nm0187072,Michael Craze
nm0899714,Bea de Visser
nm0584052,Paul Sanchez
nm0925096,Lari White
nm0581365,Ryan Merriman
nm0194781,Jean-Philippe Côté
nm0377546,Nelson Henricks
nm0994419,Yudi Sewraj
nm0500785,David Leivick
nm0728892,Frederick A. Ritzenberg
nm0004991,Hill Harper
nm0796412,Sicily Johnson
nm0533060,Patty Mack
nm0133719,Stelio Candelli
nm0061608,Luigi Batzella
nm0220157,Marietta DePrima
nm0066732,Hagan Beggs
nm0186301,Anthony Crane
nm0518763,Nicole London
nm0291918,Peter Franzén
nm0084950,Irina Björklund
nm0717788,Taisto Reimaluoto
nm0754328,Olli Saarela
nm0261170,Jennifer Esposito
nm0941076,Norman Wooland
nm0191741,Michael Culver
nm0839008,Zhou Sun
nm0372099,Xiaohe Lü
nm0521808,Simon Lui
nm0321159,Amos Gitai
nm0516286,Chi Muoi Lo
nm0005125,Sanaa Lathan
nm0775687,Pit Schröder
nm0059319,Brad Bartram
nm0065696,John Beckett
nm0025823,Dominic Anciano
nm0120987,Ray Burdis
nm0110083,Charlotte Brittain
nm0366525,Stacy Hart
nm0466505,Mary Kornman
nm0715529,Kira Reed Lorsch
nm0430049,Julie Jordan
nm0717114,Matthew Reichman
nm0560400,Charles Matton
nm0604420,George Morfogen
nm0213851,John Decker
nm0397184,Cecil Howard
nm0830740,Nigel Stock
nm0262952,Kim Evans
nm0427015,Lana Jokel
nm0311297,Karl Geary
nm0192959,G. Patrick Currie
nm0767205,Ron Sauvé
nm0239488,Kathleen Duborg
nm0153581,Ron Chartier
nm0445221,Clete Keith
nm0254001,Harrison Ellenshaw
nm0901156,Elefterie Voiculescu
nm0702729,Will Quadflieg
nm0331339,Peter Gorski
nm0695784,Tim Preece
nm0082689,Michael Bilton
nm0718671,Edgar Reitz
nm0004755,Jason Biggs
nm0177639,Jennifer Coolidge
nm0002364,Dante Basco
nm0305182,Eddie Garcia
nm0129132,Gene Cajayon
nm0733415,Steven Robman
nm0907288,Caroline Waldron
nm0948679,Daniel York
nm0875768,Jessica Tuck
nm0434079,Roger Kabler
nm0469601,Lloyd Kramer
nm0008543,Tim Abell
nm0105465,Melissa Brasselle
nm0005194,Danny Masterson
nm0004910,David Faustino
nm0217936,David DeLuise
nm0068755,Clara Bellar
nm0942185,Alex Wright
nm0489644,Michael Laskin
nm0600554,Philipp Moog
nm0056271,Lynda Baron
nm0004997,Melissa Joan Hart
nm0004978,Adrian Grenier
nm0582420,Mark Metcalf
nm0776271,John Schultz
nm0003115,Christine Lakin
nm0546153,Mitch Marcus
nm7919195,John Blush
nm0848533,Tetsurô Tanba
nm0671831,Peng Tien
nm3372852,Hsiao-Ping Yang
nm0838985,Sheng-Yuan Sun
nm1145862,Ting Mei Sung
nm0795517,Shu Qi
nm0510887,Andrew Lin
nm0781054,Márta Sebestyén
nm0354451,Szabolcs Hajdu
nm0102527,Yvette Bozsik
nm0190615,Sándor Cs. Nagy
nm0490492,Tony Liu
nm0620700,Hong Nan
nm0398739,Shan Hua
nm2230709,Roger Ferreira
nm0700554,Simon Pummell
nm0915382,Al Waxman
nm0009530,Alon Aboutboul
nm0033386,Johnny Arbid
nm0043301,Doron Avrahami
nm0059424,Rami Baruch
nm0947718,Isaac Zepel Yeshurun
nm0077944,Anders W. Berthelsen
nm0469273,Søren Kragh-Jacobsen
nm0035061,Anthony Arkin
nm0909699,John Walsh
